"","species","vir_pos","massmale_kg","massfemale_kg","habitat_forest","habitat_savanna","habitat_shrubland","habitat_grassland","habitat_wetlands","habitat_rocky.areas","habitat_desert","threat_critical","threat_data_deficient","threat_endangered","threat_least_concern","threat_not_evaluated","threat_near_threatened","threat_vulnerable","population_decreasing","ppoulation_increasing","population_stable","locomotion_arboreal","locomotion_both","locomotion_terrestrial","folivore","folivore_frugivore","frugivore","gummivore","insectivore","omnivore","adult_mass_g","brain_mass_g","adult_body_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","home_range_km2","social_group_n","det_inv","det_vend","det_vect","det_vunk","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","disected_by_mountains","habitat_breadth_n","aotidae","atelidae","callitrichidae","cebidae","cercopithecidae","cheirogaleidae","daubentoniidae","galagidae","hominidae","hylobatidae","indriidae","lemuridae","lepilemuridae","lorisidae","pitheciidae","tarsiidae","afrotropical","australasian","indomalayan","neotropical","palearctic","realm_multiple","foraging_stratum_arboreal","foraging_stratum_ground","foraging_stratum_scansorial","activity_cycle_diurnal","activity_cycle_multiple","activity_cycle_nocturnal","body_size_ratio","rel_age_fb_days","rel_sexual_maturity_days","postnatal_growth_rate","mass_specific_production","home_range_scaled_km2_g","wos_hits","hfp_avg","species_avg","max_popdens","min_popdens","mean_popdens","mean_temp","max_temp","min_temp","range_temp","mean_prec","max_prec","min_prec","range_prec","ymin","ymax","range_lat","centroid","ecor_n"
"1","Allenopithecus nigroviridis",0,1.81319474994812,1.15688119679209,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8.45318786144033,3.98341300151482,459.995,10019.25,NA,1452.4,NA,1528.34,165.591,1,0.931,470.453,5.39816270151775,106.15,NA,3723.024,0.908258560176891,NA,NA,3.68887945411394,50,0,0,0,50,0,0,0,2,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,21.2217194570136,-1.88032606347493,NA,NA,0.0438701492537313,NA,3.04452243772342,1.2731063212763,122.378551650466,5.34162830209883,1.05140221057267,3.12401586565397,251.947368421053,332,180,118.662280701754,1794.79385964912,5.50533153593236,3.46573590279973,144.802631578947,-2.27035728055556,3.78029120277778,6.05064848333333,0.754966961111111,1.6094379124341
"2","Allocebus trichotis",0,-2.3859667019331,-2.47693848013882,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,4.35786200767458,1.95444505150515,133.495,3278.917,NA,553.338,NA,650.773,127.009,1,1,333.042,NA,93.138,4.04567939024082,1977.57,-1.34323487165944,2.89037175789616,NA,0,0,0,0,0,50,0,0,50,2,1600,NA,NA,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,-1.61710757684484,NA,NA,NA,NA,2.89037175789616,2.71963980898525,52.9344757927789,4.58108241859444,2.90055740144392,3.740796489339,215.904761904762,303,100,143.142857142857,2190.66666666667,5.98393628068719,2.77258872223978,270.47619047619,-19.2427288583333,-14.3607414527778,4.88198740555556,-16.8017351555556,1.09861228866811
"3","Allochrocebus lhoesti",0,1.94591014905531,1.09861228866811,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,8.45531778769815,4.19720194766181,510,8796.5,NA,1573.692,NA,1699.241,171.085,1,0.875,484.893,NA,324.135,NA,3650,0.90946750652603,1.43508452528932,NA,2.85647020622048,0,0,0,10,50,0,30,10,2,2900,NA,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,NA,-1.6441722343207,NA,NA,NA,NA,3.63758615972639,1.45261493832329,141.933363416718,6.2720944139544,1.89095768146578,3.50539417641378,234.427642276423,320,94,123.20162601626,1773.03089430894,5.6970934865054,2.30258509299405,143.827642276423,-4.21581090833333,2.09575256944444,6.31156347777778,-1.06002916944444,1.79175946922805
"4","Allochrocebus preussi",0,1.54756250871601,1.06471073699243,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8.50030844296807,4.16762600241618,527.5,9532.583,NA,1512.88,NA,1636.368,170.352,1,0.875,484.893,NA,310.98,NA,3285,0.934130650002486,NA,NA,1.09861228866811,0,0,0,10,50,0,30,10,2,2500,NA,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,NA,-1.76223656800558,NA,NA,NA,NA,1.38629436111989,2.14678145445635,124.295708847046,5.96249251573693,2.47124753175308,4.79609462871938,229.395348837209,339,114,131.325581395349,2351.67441860465,6.20253551718792,2.19722457733622,379.232558139535,3.27532644166667,6.57198243611111,3.29665599444444,4.92365443888889,1.38629436111989
"5","Allochrocebus solatus",0,1.93007108502557,1.36609165380237,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,8.43129864508447,4.18124065478896,523.489,6588.25,1734.301,1734.301,NA,1733.75,171.787,1.005,0.78,547.125,NA,337.064,NA,3910.638,0.896088024556636,3.2188758248682,NA,2.30258509299405,0,0,0,10,50,0,30,10,2,980,4.94875989037817,840,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,NA,-1.33500106673234,-1.3346833090035,NA,NA,NA,2.94443897916644,0.990729383965095,112.230872017997,2.98565203619205,1.02090098236591,1.51559590831503,245.107142857143,321,156,130.660714285714,1777.96428571429,5.96870755998537,1.09861228866811,302.428571428571,-1.85467901944444,-0.0659728027777778,1.78870621666667,-0.960325911111111,1.09861228866811
"6","Alouatta arctoidea",0,1.94591014905531,1.74919985480926,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8.59230066390304,4.03184839849649,737.605,9125,1690.22,1672.763,NA,1671.7,190,1.2,0.815,465.356,5.6816050297115,372,NA,3833.157,0.984696764538215,4.1475693234594,-2.30258509299405,2.06686275947298,0,0,0,0,40,0,0,60,2,1160,2.39789527279837,1150,NA,NA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,18.3695726262695,-1.69717682674211,-1.68615920149114,NA,0.0532402152133581,-10.8948857568971,1.09861228866811,2.35616756211781,161.136285287363,7.77001727625859,1.01535730653047,4.50868789187822,257.82096069869,362,127,130.639737991266,1300.30786026201,6.10702288774225,0.693147180559945,206.836244541485,4.94498399166667,11.5601215694444,6.61513757777778,8.25255278055556,2.56494935746154
"7","Alouatta belzebul",1,1.98375629154543,1.708377860289,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,8.72549271324286,3.92907675999397,732.69,12841.917,NA,1578.825,NA,1720.065,185.267,1.06,0.707,544.347,NA,369.969,NA,4380,1.05813745610239,1.74676210329732,NA,2.00148000021012,0,0,0,0,40,0,0,60,2,NA,NA,NA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,-2.01035250537425,NA,NA,NA,NA,3.95124371858143,1.55117299020999,138.493578687243,7.32257952953482,0,2.87340712790055,258.817624093698,357,146,138.017289459007,2007.23535973229,6.38012253689976,0.693147180559945,319.704963747909,-10.5234060972222,0.362602397222222,10.8860084944444,-5.08040185,2.484906649788
"8","Alouatta caraya",1,1.85941811770187,1.4655675420144,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,8.60566183940385,3.97726752728855,736.58,11826,1276.72,1215.199,928,1354.15,187,1,1,337.579,5.23377884541047,195.2,NA,3750.594,0.992140044157593,4.54339052236763,NA,2.18605127673809,0,0,0,0,40,0,0,60,2,NA,NA,NA,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,29.1333333333333,-2.16712654617894,-2.22600620828984,NA,0.034324942791762,NA,5.66296048013595,1.73795690354736,121.86375700554,7.41054506401257,0.013937210558482,2.50898315830761,241.320530973451,358,73,186.543716814159,1421.92407079646,6.4393503711001,0,220.352920353982,-31.1098967805556,-8.42616541944444,22.6837313611111,-19.7680311,3.09104245335832
"9","Alouatta discolor",0,1.98100146886658,1.70474809223843,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,8.74238264843737,3.92907675999397,732.69,12841.917,NA,1570.15,NA,1698.515,185.617,1.063,0.727,525.559,NA,366.905,NA,4015,1.06746555967127,1.74676210329732,NA,2.00148000021012,0,0,0,0,40,0,0,60,2,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,-2.02296024628198,NA,NA,NA,NA,1.09861228866811,-0.0166563521613935,143.873562884425,5.82759609974007,0,0.718400644027768,256.648221343874,362,140,159.607707509881,2207.49901185771,6.13122648948314,1.94591014905531,328.866600790514,-10.0184413361111,-0.770344080555556,9.24809725555556,-5.39439270833333,1.94591014905531
"10","Alouatta guariba",0,1.90657514365664,1.47017584510059,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,8.55416715174032,3.98803915585117,714.765,5040.042,NA,1529.696,NA,1590.443,181.235,1.042,0.766,507.457,NA,336.199,NA,3738.848,0.963937385341508,3.41519890129797,-3.50655789731998,2.00148000021012,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,-1.15340182160388,NA,NA,NA,-12.0607250490603,4.92725368515721,2.39079861009162,123.77847762495,8.73003613882008,0.456608108024373,4.53883369978611,192.726990049751,330,35,187.735074626866,1498.76430348259,5.93753620508243,1.38629436111989,138.695273631841,-31.272596625,-15.2436857305556,16.0289108944444,-23.2581411777778,2.39789527279837
